Наименование,Оценка,Количество оценок,Адрес,Координаты объекта,Количество отзывов,Автор,Статус автора,Оценка автора,Дата,Текст,Like,Dislike,source,Оценка_автора_число,clean_text,review_length,category,sentiment,issue_type,delivery_speed
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Маша Шкаева,3 отзыва,5 звезд,6 лет назад,Хорошая мебель на разный вкус.,,,Google,5.0,хорошая мебель на разный вкус,30,Другое,positive,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Светлана Копылова,Местный эксперт · 38 отзывов · 49 фото,1 звезда,6 лет назад,"Покупатели предоставлены сами себе, ходи,смотри и уходи ни счем.",,,Google,1.0,покупатели предоставлены сами себе ходисмотри и уходи ни счем,64,Другое,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Елена 595766,52 отзыва · 6 фото,5 звезд,4 года назад,Хороший магазин. Нашли все что нужно,,,Google,5.0,хороший магазин нашли все что нужно,36,Другое,positive,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Игорь Васильев,Местный эксперт · 78 отзывов · 3 фото,5 звезд,4 года назад,"Купили 2 кровати, все понравилось",,,Google,5.0,купили кровати все понравилось,33,Другое,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,иван лебедев,Местный эксперт · 481 отзыв · 172 фото,1 звезда,6 лет назад,"Выбор небольшой, цены выше чем у других",1.0,,Google,1.0,выбор небольшой цены выше чем у других,39,Другое,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Леонид Рождаев,2 отзыва,2 звезды,5 лет назад,"Слишком тормознутый персонал, а именно операторы на телефонах.",,,Google,2.0,слишком тормознутый персонал а именно операторы на телефонах,62,Другое,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Павел М,Местный эксперт · 14 отзывов · 1 фото,4 звезды,6 лет назад,Хороший магазин. Цены на выбор.,1.0,,Google,4.0,хороший магазин цены на выбор,31,Другое,positive,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Махир Исмаилов,Местный эксперт · 236 отзывов · 193 фото,4 звезды,6 лет назад,"Просторно, есть парковка, хороший ассортимент.",,,Google,4.0,просторно есть парковка хороший ассортимент,46,Другое,positive,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Вадим Серебренников,Местный эксперт · 87 отзывов,3 звезды,6 лет назад,Салон мебели. Ассортимент не порадовал.,,,Google,3.0,салон мебели ассортимент не порадовал,39,Другое,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Николай Пантелеев,Местный эксперт · 187 отзывов · 43 фото,4 звезды,4 года назад,Большой выбор мебели,,,Google,4.0,большой выбор мебели,20,Другое,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Алексей Осипов,Местный эксперт · 31 отзыв · 6 фото,5 звезд,7 лет назад,"Хорошие цены, большой ассортимент",,,Google,5.0,хорошие цены большой ассортимент,33,Другое,positive,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Виктор Распопин,Местный эксперт · 76 отзывов · 11 фото,5 звезд,6 лет назад,Мебель на любой вкус и кошелек,,,Google,5.0,мебель на любой вкус и кошелек,30,Другое,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Vasiliy Ko,Местный эксперт · 106 отзывов · 23 фото,3 звезды,4 года назад,"Полупустой, выбора совсем немного....",,,Google,3.0,полупустой выбора совсем немного,37,Другое,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Игорь Кузмин,Местный эксперт · 4 отзыва,5 звезд,5 лет назад,Обслуживание отличное  вежливые,,,Google,5.0,обслуживание отличное вежливые,31,Другое,positive,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Светлана Кэлем,Местный эксперт · 50 отзывов · 1 фото,3 звезды,7 лет назад,Не плохой выбор,,,Google,3.0,не плохой выбор,15,Другое,negative,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Ludmila Permyakova,Местный эксперт · 104 отзыва · 7 фото,4 звезды,4 года назад,Ничего не изменилось.,,,Google,4.0,ничего не изменилось,21,Другое,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Aнна С,1 отзыв,5 звезд,6 лет назад,Мебель на любой вкус и кошелек.,,,Google,5.0,мебель на любой вкус и кошелек,31,Другое,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Светлана Меринова,Местный эксперт · 59 отзывов · 6 фото,4 звезды,5 лет назад,Малый выбор.,,,Google,4.0,малый выбор,12,Другое,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Пол Берз,9 отзывов · 11 фото,5 звезд,6 лет назад,Разумные цены,,,Google,5.0,разумные цены,13,Другое,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Алексей Сизов,3 отзыва,5 звезд,6 лет назад,Хороший магазин,,,Google,5.0,хороший магазин,15,Другое,positive,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Олег Пономарев,Местный эксперт · 36 отзывов · 10 фото,4 звезды,3 года назад,Норм,,,Google,4.0,норм,4,Другое,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Николай Петров,Местный эксперт · 9 отзывов · 12 фото,4 звезды,3 года назад,Эх,,,Google,4.0,эх,2,Другое,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Olgerd Kr,Местный эксперт · 141 отзыв · 1 695 фото,5 звезд,5 лет назад,Заибись,,,Google,5.0,заибись,7,Другое,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Андрей Янковой,Местный эксперт · 60 отзывов · 29 фото,2 звезды,4 года назад,Бич вариант,,,Google,2.0,бич вариант,11,Другое,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,ALIK RAHIMOV,Местный эксперт · 7 отзывов · 11 фото,5 звезд,6 лет назад,Здравствуйте,,,Google,5.0,здравствуйте,12,Другое,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Дима В,Местный эксперт · 1 отзыв · 2 фото,5 звезд,5 лет назад,Фаомо,,,Google,5.0,фаомо,5,Другое,neutral,Другое,unknown
Мебель Град,"3,6",,"ул. Рабочего Штаба, 30А","104.2984445,52.3081312",16.0,Саша Борздей,1 отзыв,1 звезда,6 лет назад,Одна звезда это еще сильно много для того магазина!!! Покупали кухонный уголок во-первых везли его сто лет во вторых развалился через пол года эксплуатации. В этом году какого то хера мама решила купить там компьютерный стол мало того …,2.0,,Google,1.0,одна звезда это еще сильно много для того магазина покупали кухонный уголок вопервых везли его сто лет во вторых развалился через пол года эксплуатации в этом году какого то хера мама решила купить там компьютерный стол мало того,236,Корпусная мебель,neutral,Другое,unknown
Мебель Град,"3,6",,"ул. Рабочего Штаба, 30А","104.2984445,52.3081312",16.0,ваха иванов,1 отзыв,5 звезд,6 лет назад,"Ничего не могу сказать про качество мебели, т. к. купила совсем недавно, но очень захотелось после прочтения отзывов написать по поводу обслуживания клиентов и по поводу сборки мебели. …",,,Google,5.0,ничего не могу сказать про качество мебели т к купила совсем недавно но очень захотелось после прочтения отзывов написать по поводу обслуживания клиентов и по поводу сборки мебели,186,Другое,neutral,Качество,unknown
Мебель Град,"3,6",,"ул. Рабочего Штаба, 30А","104.2984445,52.3081312",16.0,Полина Шамова,2 отзыва,5 звезд,4 года назад,"Хороший магазин ,  покупала у них диван. очень довольна . спасибо большое",,,Google,5.0,хороший магазин покупала у них диван очень довольна спасибо большое,73,Мягкая мебель,positive,Другое,unknown
Мебель Град,"3,6",,"ул. Рабочего Штаба, 30А","104.2984445,52.3081312",16.0,Stas,Местный эксперт · 11 отзывов · 3 868 фото,5 звезд,4 года назад,Хороший магазин! Выбор обширный и ценник норм!,,,Google,5.0,хороший магазин выбор обширный и ценник норм,46,Другое,positive,Другое,unknown
Мебель Град,"3,6",,"ул. Рабочего Штаба, 30А","104.2984445,52.3081312",16.0,Galina Matveeva,1 отзыв,1 звезда,7 лет назад,"Совершенна согласна с предыдущим отзывом! постоянно кормят завтраками, деньги вернуть невозможно!",9.0,,Google,1.0,совершенна согласна с предыдущим отзывом постоянно кормят завтраками деньги вернуть невозможно,97,Другое,neutral,Другое,unknown
Мебель Град,"3,6",,"ул. Рабочего Штаба, 30А","104.2984445,52.3081312",16.0,Андрей Шишкин,1 отзыв · 2 фото,3 звезды,5 лет назад,Мебель на заказ хорошего качества,,,Google,3.0,мебель на заказ хорошего качества,33,Другое,positive,Качество,unknown
Мебель Град,"3,6",,"ул. Рабочего Штаба, 30А","104.2984445,52.3081312",16.0,Владимир Т,Местный эксперт · 273 отзыва · 788 фото,4 звезды,3 года назад,Хороший магазин.,,,Google,4.0,хороший магазин,16,Другое,positive,Другое,unknown
